customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_probability,CLV
5740,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1,No,0.08,5820.299999999999
174,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,Yes,0.845,5081.3
2550,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,7895.15,No,0.0,7814.25
7008,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25,No,0.055,7575.7
4574,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,Yes,0.755,4669.45
3724,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,6369.45,No,0.0,6498.0
2694,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,6766.95,No,0.01,6840.849999999999
4413,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,7251.7,No,0.04,7192.8
6660,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4872.35,No,0.02,4844.0
3259,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4861.45,No,0.0,5030.549999999999
2593,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3906.7,No,0.195,4140.5
5417,1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,4217.8,No,0.005,4147.0
2043,0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,4254.1,No,0.05,4426.35
5675,0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3838.75,No,0.145,3880.75
3256,0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,4456.35,No,0.03,4491.0
6187,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,6311.2,No,0.05,6277.950000000001
3569,1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,7076.35,No,0.06,7157.7
4208,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,7853.7,No,0.09,7740.0
295,0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,4707.1,No,0.205,4723.5
832,1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,5450.7,No,0.185,5394.0
1271,1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,7099,No,0.105,7142.4
1834,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,6139.5,No,0.13,6188.0
6978,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,4327.5,No,0.12,4359.599999999999
5127,1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,5714.25,No,0.015,5544.0
4295,0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,7107,No,0.085,7218.25
6934,1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,7459.05,No,0.02,7264.8
6897,1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4748.7,No,0.01,4746.349999999999
2228,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85,Yes,0.655,7480.0
4772,0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,7303.05,No,0.02,7498.8
6056,1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3921.3,No,0.075,4057.0499999999997
327,1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,Yes,0.23,5321.25
4045,0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3954.1,No,0.105,3940.9500000000003
745,0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,5515.45,No,0.065,5588.8
1806,1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3985.35,No,0.07,4007.9500000000003
2192,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,6425.65,No,0.06,6339.599999999999
751,0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,5971.25,No,0.06,6164.05
1804,1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,5289.05,No,0.015,5395.2
4048,0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,6416.7,No,0.015,6438.25
1139,0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,7930.55,No,0.05,7570.5
6397,1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,5215.25,No,0.005,5338.2
3241,1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3958.25,No,0.04,3916.7000000000003
4249,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,6254.45,No,0.0,6411.599999999999
475,0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,5000.2,Yes,0.715,5027.049999999999
6805,0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,8129.3,No,0.0,7898.400000000001
